Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
37,No,Travel_Rarely,1429.0,Research & Development,3.0,2,Marketing,1,20,3,Male,68,2,1,Laboratory Technician,2,Single,5489,5892,2.0,Y,No,19,3,3,80,0,10,4,2,3,3,3,0
35,No,Travel_Rarely,1442.0,Sales,2.0,4,Medical,1,21,4,Male,47,3,2,Healthcare Representative,3,Divorced,4931,25708,1.0,Y,No,19,3,4,80,1,3,2,4,2,2,1,2
31,Yes,Non-Travel,487.0,Sales,5.0,2,Medical,1,22,1,Male,66,3,1,Research Director,2,Married,7854,2486,2.0,Y,No,20,3,2,80,1,2,5,3,2,2,1,2
48,No,Travel_Rarely,1010.0,Research & Development,19.0,3,Life Sciences,1,23,2,Male,86,3,2,Manufacturing Director,3,Single,9327,7551,4.0,Y,Yes,12,3,3,80,1,4,2,2,3,1,3,3
36,No,Travel_Frequently,274.0,Research & Development,5.0,1,Marketing,1,24,3,Female,78,3,1,Sales Executive,3,Married,5850,23636,2.0,Y,Yes,20,3,4,80,3,18,3,2,18,2,0,2
33,Yes,Travel_Rarely,499.0,Sales,12.0,3,Life Sciences,1,25,4,Male,85,4,2,Laboratory Technician,4,Single,4774,23570,7.0,Y,No,12,4,4,80,0,3,5,3,2,1,2,2
34,No,Travel_Rarely,951.0,Sales,5.0,3,Life Sciences,1,26,1,Male,60,3,1,Sales Executive,4,Married,3273,9556,4.0,Y,No,12,3,2,80,3,6,2,2,0,0,0,0
42,No,Travel_Rarely,,Research & Development,1.0,3,Life Sciences,1,27,2,Female,35,2,4,Sales Executive,3,Married,16800,23055,2.0,Y,No,12,3,3,80,1,10,3,2,8,0,1,0
40,No,Travel_Rarely,1455.0,Sales,29.0,2,Medical,1,28,2,Female,91,3,2,Laboratory Technician,4,Single,15372,4009,1.0,Y,No,13,3,4,80,2,3,3,4,0,0,0,0
41,Yes,Non-Travel,211.0,Research & Development,2.0,4,Life Sciences,1,29,4,Female,35,3,2,Healthcare Representative,4,Single,10050,10465,3.0,Y,No,15,3,3,80,1,13,5,1,6,3,6,6
41,No,Travel_Rarely,1093.0,Research & Development,2.0,5,Medical,1,30,3,Male,41,3,3,Sales Executive,1,Married,12966,2785,1.0,Y,No,12,4,2,80,0,8,3,2,6,3,4,3
56,No,Travel_Rarely,958.0,Research & Development,1.0,3,Life Sciences,1,31,3,Female,80,3,3,Healthcare Representative,3,Single,12044,14975,3.0,Y,No,16,3,3,80,1,15,3,3,12,12,2,4
33,Yes,Travel_Rarely,1348.0,Research & Development,14.0,3,Medical,1,32,4,Male,59,3,2,Healthcare Representative,1,Divorced,6374,24497,2.0,Y,Yes,11,4,1,80,0,3,2,2,1,1,1,1
32,Yes,Non-Travel,1232.0,Research & Development,1.0,4,Medical,1,33,3,Male,63,1,1,Healthcare Representative,2,Married,6491,17371,1.0,Y,Yes,16,3,3,80,1,6,1,2,3,2,3,2
30,No,Travel_Frequently,1353.0,Research & Development,20.0,2,Life Sciences,1,34,4,Male,34,3,1,Research Scientist,4,Married,2717,15122,3.0,Y,No,11,3,4,80,0,12,0,3,12,3,4,3
43,Yes,Travel_Rarely,1211.0,Sales,2.0,4,Medical,1,35,2,Male,41,3,2,Research Scientist,4,Single,5720,7026,4.0,Y,Yes,13,3,4,80,0,4,3,3,3,3,2,1
47,No,Non-Travel,408.0,Research & Development,,2,Medical,1,36,1,Male,79,3,3,Sales Executive,4,Married,8807,17298,4.0,Y,No,13,3,3,80,2,18,3,3,1,1,0,1
36,No,Travel_Rarely,695.0,Human Resources,1.0,4,Medical,1,37,3,Male,69,3,3,Research Scientist,3,Divorced,12856,10168,3.0,Y,No,18,3,4,80,2,18,1,3,14,3,10,6
29,No,Travel_Rarely,1059.0,Research & Development,5.0,1,Life Sciences,1,38,2,Female,48,3,2,Research Scientist,1,Single,7796,17436,6.0,Y,No,17,3,4,80,1,8,2,3,2,2,1,1
30,No,Non-Travel,1497.0,Research & Development,1.0,2,Medical,1,39,4,Male,58,3,1,Research Scientist,1,Married,4881,5344,1.0,Y,No,14,3,4,80,1,2,2,3,0,0,0,0
43,Yes,Travel_Rarely,1306.0,Sales,6.0,3,Life Sciences,1,40,3,Male,59,3,2,Sales Executive,2,Single,7872,15099,1.0,Y,Yes,12,3,4,80,1,6,5,3,4,3,2,1
44,No,Travel_Rarely,1009.0,Sales,7.0,3,Life Sciences,1,41,2,Male,94,2,3,Sales Executive,2,Married,9073,14486,4.0,Y,No,18,3,4,80,3,12,2,3,6,6,0,4
42,No,Travel_Rarely,243.0,Research & Development,1.0,4,Life Sciences,1,42,4,Male,92,3,2,Sales Representative,3,Married,6692,21252,1.0,Y,No,21,3,2,80,0,10,3,1,2,2,2,2
31,No,Travel_Rarely,689.0,Sales,1.0,5,Medical,1,43,3,Male,63,3,1,Healthcare Representative,3,Married,3583,24736,3.0,Y,No,15,3,1,80,0,3,4,3,3,3,3,3
39,No,Travel_Rarely,1012.0,Research & Development,3.0,1,Life Sciences,1,44,3,Male,43,3,2,Research Scientist,1,Married,5370,24660,2.0,Y,No,11,3,1,80,2,7,5,2,6,4,2,3
38,No,Travel_Rarely,1180.0,Research & Development,3.0,2,Medical,1,45,1,Male,69,3,1,Research Director,1,Single,3792,10602,1.0,Y,No,12,4,3,80,0,7,3,2,6,1,6,0
39,Yes,Travel_Rarely,481.0,Research & Development,13.0,3,Life Sciences,1,46,4,Female,30,3,2,Research Scientist,1,Single,5953,18060,4.0,Y,No,17,3,4,80,1,10,2,4,5,1,5,2
45,No,Travel_Rarely,754.0,Research & Development,,3,Marketing,1,47,3,Female,75,3,3,Research Scientist,4,Single,12139,18362,3.0,Y,No,13,4,4,80,1,13,2,1,0,0,0,0
39,Yes,Non-Travel,1249.0,Research & Development,8.0,3,Life Sciences,1,48,4,Male,70,3,2,Manager,2,Divorced,9089,23110,3.0,Y,No,12,3,4,80,1,9,2,3,1,1,1,1
43,No,Travel_Rarely,1266.0,Research & Development,6.0,4,Medical,1,49,4,Female,92,3,4,Laboratory Technician,1,Married,11971,22195,2.0,Y,No,12,4,4,80,0,16,4,2,10,7,3,2
38,No,Travel_Frequently,413.0,Sales,7.0,4,Marketing,1,50,3,Female,60,3,3,Research Scientist,3,Married,10566,2333,2.0,Y,No,15,3,3,80,1,5,2,3,5,4,1,0
40,No,Travel_Rarely,456.0,Sales,10.0,1,Life Sciences,1,51,1,Female,69,3,2,Research Scientist,2,Divorced,11240,22040,6.0,Y,No,11,3,3,80,1,7,2,3,5,2,0,4
43,Yes,Travel_Rarely,623.0,Sales,1.0,3,Life Sciences,1,52,3,Female,33,2,2,Laboratory Technician,2,Single,6134,14053,2.0,Y,No,15,3,3,80,2,25,2,3,12,1,11,1
24,Yes,Travel_Rarely,1001.0,Sales,4.0,3,Medical,1,53,1,Female,87,3,1,Manufacturing Director,4,Single,5467,25765,3.0,Y,Yes,15,3,1,80,1,3,2,3,3,2,2,0
34,No,Travel_Rarely,1047.0,Research & Development,1.0,3,Human Resources,1,54,4,Female,50,4,1,Research Scientist,2,Single,4889,17137,2.0,Y,No,13,4,4,80,2,12,2,3,4,4,3,4
33,Yes,Travel_Frequently,1162.0,Research & Development,2.0,2,Other,1,55,2,Female,83,2,1,Laboratory Technician,1,Divorced,6667,11730,4.0,Y,No,11,4,3,80,0,2,2,4,1,1,1,1
31,No,Travel_Rarely,878.0,Sales,1.0,3,Life Sciences,1,56,2,Male,46,2,3,Research Scientist,2,Married,11631,7105,2.0,Y,Yes,19,3,1,80,0,7,0,3,3,1,3,3
35,Yes,Travel_Frequently,1384.0,Research & Development,26.0,3,Marketing,1,57,3,Male,54,3,2,Laboratory Technician,1,Married,7123,25735,2.0,Y,Yes,11,3,3,80,3,3,3,2,3,3,3,1
50,No,Travel_Rarely,269.0,Research & Development,12.0,2,Life Sciences,1,58,3,Male,48,3,3,Sales Executive,4,Single,11220,6086,0.0,Y,No,16,3,3,80,0,9,2,3,0,0,0,0
29,No,Travel_Frequently,835.0,Research & Development,12.0,4,Life Sciences,1,59,3,Male,92,4,1,Sales Representative,4,Single,4846,4339,4.0,Y,No,18,3,4,80,0,6,3,2,4,4,1,3
46,No,Travel_Rarely,416.0,Research & Development,12.0,3,Medical,1,60,4,Male,85,1,4,Healthcare Representative,3,Married,14134,5487,1.0,Y,Yes,16,3,4,80,0,12,3,3,1,1,1,1
22,Yes,Travel_Frequently,854.0,Research & Development,1.0,3,Medical,1,61,4,Male,79,4,1,Research Scientist,3,Married,2325,15831,1.0,Y,Yes,19,3,2,80,1,4,3,2,4,0,4,4
34,No,Travel_Frequently,1339.0,Research & Development,1.0,3,Medical,1,62,4,Male,51,3,2,Healthcare Representative,2,Divorced,10137,9187,2.0,Y,No,11,3,4,80,1,16,2,3,2,2,0,2
38,No,Travel_Rarely,1338.0,Research & Development,3.0,4,Marketing,1,63,3,Male,81,3,2,Sales Executive,3,Married,9819,16559,2.0,Y,Yes,12,4,1,80,2,13,3,4,4,4,1,4
42,No,Travel_Rarely,1483.0,Research & Development,,2,Life Sciences,1,64,3,Female,64,3,3,Research Scientist,2,Married,9220,22601,1.0,Y,Yes,13,3,2,80,0,5,2,3,5,5,2,1
43,No,Travel_Rarely,786.0,Human Resources,9.0,1,Medical,1,65,4,Male,80,3,3,Laboratory Technician,4,Married,10558,9342,2.0,Y,No,25,3,3,80,0,4,2,3,1,1,1,1
44,Yes,Travel_Rarely,1071.0,Research & Development,3.0,2,Life Sciences,1,66,2,Male,48,1,3,Laboratory Technician,4,Divorced,10694,2782,3.0,Y,No,17,3,4,80,0,14,2,4,7,2,0,2
34,No,Non-Travel,768.0,Sales,,3,Life Sciences,1,67,2,Female,67,3,2,Healthcare Representative,2,Married,5818,11037,2.0,Y,No,18,3,4,80,3,14,6,3,10,2,0,0
33,No,Travel_Rarely,115.0,Sales,6.0,2,Life Sciences,1,68,1,Female,96,2,2,Research Director,4,Married,4539,17097,2.0,Y,No,17,3,1,80,1,14,2,2,2,2,1,0
45,No,Travel_Rarely,497.0,Research & Development,6.0,4,Other,1,69,4,Female,35,2,2,Research Scientist,1,Divorced,6692,20234,4.0,Y,No,15,3,4,80,0,7,3,3,4,4,3,1
35,Yes,Travel_Rarely,1140.0,Sales,7.0,2,Medical,1,70,3,Female,84,3,1,Research Scientist,2,Single,4058,3791,4.0,Y,Yes,19,3,4,80,0,9,2,1,3,1,3,2
26,No,Travel_Rarely,177.0,Research & Development,29.0,1,Life Sciences,1,71,2,Female,78,4,1,Manufacturing Director,1,Divorced,2105,23971,1.0,Y,No,11,3,4,80,0,3,3,3,2,2,0,2
27,No,Travel_Rarely,1000.0,Research & Development,3.0,3,Medical,1,72,1,Male,59,3,1,Research Scientist,2,Single,5018,16867,0.0,Y,No,16,3,2,80,1,9,2,1,4,4,0,1
29,No,Travel_Rarely,742.0,Research & Development,2.0,4,Other,1,73,1,Male,93,3,2,Sales Executive,2,Married,9993,14088,2.0,Y,No,17,4,1,80,1,10,3,3,7,6,5,7
41,No,Travel_Rarely,677.0,Sales,3.0,4,Technical Degree,1,74,3,Male,80,3,2,Research Director,4,Divorced,9415,8375,2.0,Y,No,19,3,3,80,1,3,1,3,2,2,1,0
38,Yes,Travel_Rarely,1129.0,Human Resources,23.0,4,Medical,1,75,2,Female,66,4,2,Manager,2,Married,7671,25972,2.0,Y,No,11,3,4,80,1,9,2,3,2,2,2,2
43,No,Travel_Rarely,420.0,Research & Development,3.0,3,Life Sciences,1,76,4,Female,52,3,2,Research Director,2,Married,4587,6012,3.0,Y,No,11,3,2,80,0,25,3,2,12,2,4,10
33,No,Travel_Rarely,463.0,Research & Development,2.0,4,Medical,1,77,4,Male,78,3,2,Sales Executive,1,Married,9188,13272,4.0,Y,No,11,3,3,80,1,3,2,2,1,1,1,1
38,No,Travel_Rarely,333.0,Research & Development,1.0,3,Marketing,1,78,4,Male,35,1,2,Sales Executive,1,Single,8163,13695,2.0,Y,No,17,3,4,80,1,4,0,1,4,4,2,3
43,No,Travel_Rarely,253.0,Sales,6.0,2,Technical Degree,1,79,4,Male,47,2,2,Laboratory Technician,2,Single,8663,15716,5.0,Y,No,17,3,3,80,0,6,4,3,5,3,0,2
34,No,Travel_Rarely,218.0,Research & Development,8.0,3,Marketing,1,80,4,Male,60,3,2,Research Director,1,Single,11384,7849,3.0,Y,No,12,3,3,80,1,11,6,3,10,6,0,6
41,Yes,Travel_Frequently,247.0,Research & Development,3.0,4,Medical,1,81,4,Male,45,3,2,Sales Executive,2,Married,6415,25591,3.0,Y,Yes,22,3,4,80,2,22,2,2,11,2,2,5
31,No,Travel_Rarely,995.0,Sales,4.0,3,Life Sciences,1,82,3,Male,69,3,1,Sales Executive,1,Married,1009,11514,0.0,Y,No,16,3,2,80,1,8,3,2,1,1,1,1
34,No,Travel_Rarely,520.0,Research & Development,1.0,3,Medical,1,83,4,Female,91,3,3,Sales Executive,1,Single,9203,19832,0.0,Y,No,15,4,2,80,1,12,2,2,11,4,0,3
34,No,Travel_Frequently,573.0,Research & Development,3.0,3,Life Sciences,1,84,3,Male,54,3,1,Healthcare Representative,3,Divorced,5574,17860,3.0,Y,No,14,3,2,80,1,16,3,3,9,5,0,2
26,No,Travel_Frequently,1153.0,Research & Development,16.0,3,Life Sciences,1,85,3,Female,58,3,1,Healthcare Representative,4,Married,4748,7147,2.0,Y,No,18,3,3,80,0,8,3,3,1,1,0,1
41,No,Travel_Rarely,825.0,Research & Development,11.0,1,Medical,1,86,1,Female,58,1,1,Manufacturing Director,1,Married,2511,25410,4.0,Y,No,16,3,1,80,0,22,3,2,7,2,1,1
33,No,Travel_Rarely,209.0,Research & Development,10.0,3,Medical,1,87,3,Male,80,4,2,Sales Executive,4,Married,5344,13550,5.0,Y,No,22,3,1,80,1,4,2,4,2,2,2,2
37,No,Travel_Rarely,835.0,Research & Development,6.0,4,Technical Degree,1,88,4,Male,80,4,1,Healthcare Representative,3,Single,4061,17480,1.0,Y,No,11,3,2,80,0,10,2,2,5,2,3,5
41,No,Travel_Rarely,1025.0,Research & Development,4.0,2,Marketing,1,89,4,Female,46,3,2,Laboratory Technician,3,Married,5657,18178,4.0,Y,Yes,11,3,3,80,1,8,3,3,4,0,4,0
41,No,Travel_Rarely,950.0,Sales,4.0,3,Technical Degree,1,90,3,Male,92,3,2,Sales Executive,4,Married,8837,14722,4.0,Y,Yes,12,3,4,80,1,13,3,3,10,4,4,0
43,No,Travel_Rarely,1314.0,Research & Development,6.0,1,Marketing,1,91,3,Female,75,4,3,Research Scientist,3,Single,10359,17984,5.0,Y,Yes,17,3,3,80,0,3,3,3,2,2,2,2
36,No,Travel_Rarely,932.0,Sales,1.0,1,Medical,1,92,4,Male,92,4,2,Laboratory Technician,4,Divorced,6771,15966,3.0,Y,No,13,3,4,80,3,7,2,2,3,1,2,0
33,No,Travel_Rarely,1237.0,Research & Development,11.0,5,Life Sciences,1,93,4,Female,91,3,1,Research Scientist,1,Divorced,3335,20536,5.0,Y,No,20,3,4,80,2,3,2,3,2,2,1,2
36,No,Travel_Frequently,827.0,Sales,1.0,3,Medical,1,94,3,Female,70,1,1,Research Director,3,Married,5173,13851,5.0,Y,No,14,3,4,80,0,18,3,3,18,5,4,3
22,No,Non-Travel,991.0,Research & Development,,3,Life Sciences,1,95,2,Male,79,4,1,Laboratory Technician,3,Divorced,4776,22327,3.0,Y,No,19,3,3,80,1,4,2,3,0,0,0,0
24,Yes,Travel_Frequently,318.0,Sales,2.0,2,Life Sciences,1,96,3,Male,74,3,1,Research Scientist,4,Divorced,5063,16110,1.0,Y,Yes,12,4,1,80,0,6,5,3,6,6,4,1
25,No,Travel_Rarely,1488.0,Research & Development,11.0,5,Life Sciences,1,97,4,Female,72,3,1,Manufacturing Director,3,Married,5024,26962,2.0,Y,No,19,3,3,80,3,7,3,3,7,1,1,2
28,No,Travel_Frequently,139.0,Research & Development,11.0,2,Marketing,1,98,1,Male,67,3,1,Manufacturing Director,4,Married,4570,16294,0.0,Y,Yes,20,3,2,80,1,7,4,3,5,1,1,3
41,No,Travel_Rarely,1454.0,Research & Development,2.0,4,Marketing,1,99,4,Male,46,3,2,Sales Executive,3,Married,6040,16788,3.0,Y,No,13,3,3,80,1,9,2,3,7,5,1,3
29,No,Travel_Rarely,906.0,Research & Development,2.0,2,Other,1,100,2,Male,55,3,3,Manufacturing Director,4,Single,9785,14352,3.0,Y,No,17,3,4,80,3,11,2,1,11,5,3,5
34,No,Travel_Rarely,573.0,Sales,1.0,1,Other,1,101,4,Male,79,3,1,Research Scientist,4,Single,3989,11989,3.0,Y,Yes,16,3,2,80,1,14,6,4,2,2,2,1
49,No,Travel_Rarely,693.0,Human Resources,6.0,3,Technical Degree,1,102,3,Female,81,3,4,Research Scientist,4,Single,18017,21728,5.0,Y,No,17,3,1,80,2,17,3,2,1,1,1,1
34,No,Travel_Rarely,208.0,Sales,1.0,1,Life Sciences,1,103,4,Female,62,3,1,Healthcare Representative,3,Married,2272,17896,3.0,Y,No,20,3,4,80,0,6,2,3,1,1,1,0
44,No,Travel_Rarely,674.0,Research & Development,7.0,3,Technical Degree,1,104,4,Male,37,3,3,Laboratory Technician,4,Divorced,10345,11825,4.0,Y,Yes,19,3,4,80,0,7,6,3,4,1,4,1
29,No,Travel_Rarely,201.0,Sales,11.0,2,Marketing,1,105,4,Female,39,3,2,Research Scientist,1,Married,8076,22191,2.0,Y,No,17,3,4,80,1,8,2,4,4,2,1,1
35,No,Travel_Frequently,702.0,Sales,11.0,4,Technical Degree,1,106,4,Male,92,3,2,Sales Executive,4,Single,7354,4797,4.0,Y,Yes,17,3,1,80,2,9,3,3,7,1,0,1
28,No,Travel_Rarely,292.0,Research & Development,9.0,4,Life Sciences,1,107,1,Male,38,4,1,Laboratory Technician,4,Single,6633,3644,2.0,Y,No,11,3,3,80,0,4,2,2,2,0,2,1
34,No,Travel_Rarely,260.0,Research & Development,9.0,4,Life Sciences,1,108,2,Male,49,3,1,Research Scientist,3,Married,4144,18109,2.0,Y,Yes,15,3,3,80,1,11,5,4,9,4,5,0
45,No,Travel_Frequently,1097.0,Sales,16.0,1,Technical Degree,1,109,2,Female,34,3,1,Sales Representative,1,Married,4277,13502,2.0,Y,No,11,3,3,80,1,1,6,3,1,1,1,1
21,No,Travel_Rarely,352.0,Research & Development,13.0,4,Life Sciences,1,110,4,Male,45,3,1,Laboratory Technician,2,Divorced,6166,21920,4.0,Y,Yes,15,3,3,80,0,3,2,3,2,2,1,2
41,No,Travel_Rarely,570.0,Research & Development,5.0,5,Life Sciences,1,111,3,Male,88,3,2,Sales Representative,2,Divorced,11159,18632,0.0,Y,No,19,3,4,80,1,15,2,3,3,2,0,0
39,Yes,Travel_Rarely,1027.0,Sales,21.0,2,Medical,1,112,2,Male,49,2,1,Research Scientist,2,Divorced,7233,21520,6.0,Y,Yes,15,3,2,80,0,21,3,3,6,2,4,1
32,No,Travel_Rarely,807.0,Research & Development,2.0,2,Life Sciences,1,113,4,Female,88,3,3,Manager,3,Divorced,10854,8705,5.0,Y,No,11,3,4,80,0,4,2,4,1,1,1,1
24,No,Travel_Rarely,819.0,Research & Development,5.0,4,Life Sciences,1,114,2,Male,86,3,1,Sales Executive,4,Divorced,4610,8373,5.0,Y,No,11,3,2,80,0,6,3,2,6,3,1,0
38,No,Travel_Rarely,719.0,Research & Development,5.0,2,Human Resources,1,115,2,Male,79,3,2,Research Scientist,3,Married,7984,8353,1.0,Y,Yes,17,3,1,80,1,9,3,3,7,4,3,4
32,Yes,Travel_Frequently,953.0,Sales,17.0,3,Technical Degree,1,116,3,Female,48,2,3,Sales Executive,2,Single,11364,18208,3.0,Y,Yes,13,3,4,80,0,8,2,3,4,1,1,0
39,No,Travel_Rarely,1013.0,Human Resources,22.0,4,Technical Degree,1,117,4,Male,99,3,2,Sales Executive,4,Single,6374,18887,2.0,Y,Yes,18,3,3,80,0,7,6,4,4,2,0,4
37,No,Travel_Rarely,282.0,Sales,2.0,1,Life Sciences,1,118,1,Male,72,1,1,Sales Representative,4,Married,6385,26963,3.0,Y,No,11,4,3,80,1,2,3,3,1,1,0,1
51,No,Travel_Rarely,1447.0,Research & Development,14.0,3,Life Sciences,1,119,4,Male,83,3,2,Healthcare Representative,3,Single,8271,7496,2.0,Y,No,16,4,2,80,0,4,2,3,1,1,1,1
35,No,Travel_Frequently,1239.0,Research & Development,22.0,3,Medical,1,120,4,Male,54,3,1,Manufacturing Director,3,Single,4619,4698,1.0,Y,No,17,3,1,80,1,13,2,3,6,4,1,6
28,No,Travel_Rarely,694.0,Research & Development,8.0,2,Medical,1,121,3,Male,76,4,1,Laboratory Technician,3,Divorced,2411,25953,4.0,Y,No,18,3,2,80,1,2,4,4,1,1,1,1
39,No,Travel_Rarely,622.0,Research & Development,2.0,4,Life Sciences,1,122,2,Female,75,3,3,Laboratory Technician,3,Single,11212,15113,2.0,Y,Yes,13,3,4,80,2,3,3,4,2,0,0,2
39,No,Travel_Rarely,1115.0,Research & Development,18.0,2,Marketing,1,123,4,Female,71,3,2,Manufacturing Director,1,Divorced,4492,11227,1.0,Y,No,18,3,2,80,2,19,6,3,15,2,2,3
49,No,Travel_Rarely,958.0,Sales,4.0,3,Human Resources,1,124,4,Female,71,4,3,Manager,3,Married,10053,9699,6.0,Y,No,20,3,4,80,0,12,1,3,2,2,0,2
45,No,Travel_Rarely,1223.0,Sales,2.0,4,Medical,1,125,3,Female,79,4,3,Laboratory Technician,4,Married,10086,24098,1.0,Y,Yes,11,3,4,80,1,4,2,3,1,1,1,1
40,No,Travel_Rarely,752.0,Research & Development,4.0,2,Life Sciences,1,126,2,Male,99,4,1,Healthcare Representative,2,Married,5216,21799,2.0,Y,No,15,4,4,80,1,2,3,3,1,1,1,1
50,Yes,Travel_Rarely,718.0,Sales,5.0,4,Life Sciences,1,127,3,Male,90,2,4,Research Scientist,4,Married,17683,6451,4.0,Y,Yes,11,3,4,80,0,4,2,1,3,0,3,2
26,No,Non-Travel,756.0,Sales,1.0,1,Life Sciences,1,128,3,Female,51,3,1,Human Resources,4,Married,5729,10181,3.0,Y,No,12,3,4,80,1,7,2,2,4,4,4,3
31,No,Travel_Rarely,514.0,Research & Development,6.0,3,Life Sciences,1,129,2,Male,92,3,3,Sales Executive,3,Single,13707,23767,2.0,Y,No,12,3,3,80,2,13,3,2,1,1,1,1
29,No,Travel_Rarely,1189.0,Research & Development,1.0,1,Medical,1,130,4,Female,54,3,1,Research Scientist,1,Divorced,5861,20363,2.0,Y,No,15,4,4,80,1,11,2,2,10,2,9,2
33,No,Travel_Rarely,1214.0,Research & Development,26.0,3,Medical,1,131,2,Female,47,3,1,Sales Representative,1,Single,6725,22394,3.0,Y,No,16,3,3,80,1,10,2,3,5,1,0,1
